Date,Consumption,Wind,Solar,Wind+Solar
2006-01-01 00:00:00+00:00,1174.9274725999999,,,
2006-01-02 00:00:00+00:00,1517.0560441000002,,,
2006-01-03 00:00:00+00:00,1585.2010986999999,,,
2006-01-04 00:00:00+00:00,1601.3373626,,,
2006-01-05 00:00:00+00:00,1623.2208792000001,,,
2006-01-06 00:00:00+00:00,1542.2274725000002,,,
2006-01-07 00:00:00+00:00,1428.8868129999998,,,
2006-01-08 00:00:00+00:00,1327.456044,,,
2006-01-09 00:00:00+00:00,1680.5747253000002,,,
2006-01-10 00:00:00+00:00,1732.8692308999996,,,
2006-01-11 00:00:00+00:00,1733.1604394999997,,,
2006-01-12 00:00:00+00:00,1706.9010990000004,,,
2006-01-13 00:00:00+00:00,1697.8043957000002,,,
2006-01-14 00:00:00+00:00,1494.4450552,,,
2006-01-15 00:00:00+00:00,1390.6318678999996,,,
2006-01-16 00:00:00+00:00,1718.3934065999997,,,
2006-01-17 00:00:00+00:00,1756.3769231,,,
2006-01-18 00:00:00+00:00,1728.5538462000002,,,
2006-01-19 00:00:00+00:00,1712.4065931999999,,,
2006-01-20 00:00:00+00:00,1692.9714284999995,,,
2006-01-21 00:00:00+00:00,1481.5252747,,,
2006-01-22 00:00:00+00:00,1371.5505492999998,,,
2006-01-23 00:00:00+00:00,1724.9351647999997,,,
2006-01-24 00:00:00+00:00,1761.8153846000002,,,
2006-01-25 00:00:00+00:00,1772.8703297,,,
2006-01-26 00:00:00+00:00,1760.0802197000003,,,
2006-01-27 00:00:00+00:00,1742.9285715,,,
2006-01-28 00:00:00+00:00,1508.8241754999997,,,
2006-01-29 00:00:00+00:00,1376.0604396,,,
2006-01-30 00:00:00+00:00,1708.4857141999998,,,
2006-01-31 00:00:00+00:00,1730.9109892000001,,,
2006-02-01 00:00:00+00:00,1738.6087911,,,
2006-02-02 00:00:00+00:00,1753.5351648,,,
2006-02-03 00:00:00+00:00,1733.8307692,,,
2006-02-04 00:00:00+00:00,1501.4527471000001,,,
2006-02-05 00:00:00+00:00,1382.431868,,,
2006-02-06 00:00:00+00:00,1711.5659341000003,,,
2006-02-07 00:00:00+00:00,1765.5681319000003,,,
2006-02-08 00:00:00+00:00,1748.2373625999999,,,
2006-02-09 00:00:00+00:00,1757.2846155999998,,,
2006-02-10 00:00:00+00:00,1708.3857142999998,,,
2006-02-11 00:00:00+00:00,1479.2351648999997,,,
2006-02-12 00:00:00+00:00,1354.4703296000002,,,
2006-02-13 00:00:00+00:00,1671.9296702,,,
2006-02-14 00:00:00+00:00,1704.8054943,,,
